# Balancin telemetria  2026-05-26 00:46:21
# Cargar en MATLAB:
#   data = readmatrix('archivo.txt', 'CommentStyle','#');
# Columnas:
# t[s]	vd[m/s]	v[m/s]	theta[rad]	alpha[rad]	oml[rad/s]	omr[rad/s]	ul[V]	ur[V]	Sl	Sr	modo_sol
0.010	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
0.020	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
0.030	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.040	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	212	0
0.050	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.060	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
0.070	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.080	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
0.090	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
0.100	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.110	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.120	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.130	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.140	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.150	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.160	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
0.170	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
0.180	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.190	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.200	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	213	0
0.210	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	211	0
0.220	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
0.230	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
0.240	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.250	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.260	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
0.270	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
0.280	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	212	0
0.290	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
0.300	+0.000000	+0.000000	-0.060947	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	211	0
0.310	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
0.320	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	213	0
0.330	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.340	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.350	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.360	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.370	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.380	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
0.390	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	211	0
0.400	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.410	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.420	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	211	0
0.430	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	213	0
0.440	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.450	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.460	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	212	0
0.470	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
